 1.70190611e-11  9.67802706e-01  1.70190611e-11  4.46436229e-01 
 1.80190611e-11  9.63907031e-01  1.80190611e-11  4.50577623e-01 
 1.90190611e-11  9.59789670e-01  1.90190611e-11  4.54938897e-01 
 2.00190611e-11  9.55454265e-01  2.00190611e-11  4.59516005e-01 
 2.10190611e-11  9.50904228e-01  2.10190611e-11  4.64305000e-01 
 2.20190611e-11  9.46143468e-01  2.20190611e-11  4.69301639e-01 
 2.30190611e-11  9.41175687e-01  2.30190611e-11  4.74501745e-01 
 2.40190611e-11  9.36005087e-01  2.40190611e-11  4.79900827e-01 
 2.50190611e-11  9.30635696e-01  2.50190611e-11  4.85494426e-01 
 2.60190611e-11  9.25072049e-01  2.60190611e-11  4.91277749e-01 
 2.70190611e-11  9.19318547e-01  2.70190611e-11  4.97245996e-01 
 2.80190611e-11  9.13380110e-01  2.80190611e-11  5.03394009e-01 
 2.90190611e-11  9.07261563e-01  2.90190611e-11  5.09716592e-01 
 3.00190611e-11  9.00968259e-01  3.00190611e-11  5.16208177e-01 
 3.10190611e-11  8.94505481e-01  3.10190611e-11  5.22863143e-01 
 3.20190611e-11  8.87879028e-01  3.20190611e-11  5.29675516e-01 
 3.30190611e-11  8.81094625e-01  3.30190611e-11  5.36639282e-01 
 3.40190611e-11  8.74158477e-01  3.40190611e-11  5.43748117e-01 
 3.50190611e-11  8.67076693e-01  3.50190611e-11  5.50995698e-01 
 3.60190611e-11  8.59855823e-01  3.60190611e-11  5.58375438e-01 
 3.70190611e-11  8.52502295e-01  3.70190611e-11  5.65880786e-01 
 3.80190611e-11  8.45022765e-01  3.80190611e-11  5.73505333e-01 
 3.90190611e-11  8.37423837e-01  3.90190611e-11  5.81242450e-01 
 4.00190611e-11  8.29712960e-01  4.00190611e-11  5.89084735e-01 
 4.10190611e-11  8.21897198e-01  4.10190611e-11  5.97025260e-01 
 4.20190611e-11  8.13983766e-01  4.20190611e-11  6.05057060e-01 
 4.30190611e-11  8.05979828e-01  4.30190611e-11  6.13173181e-01 
 4.40190611e-11  7.97892794e-01  4.40190611e-11  6.21366563e-01 
 4.50190611e-11  7.89729931e-01  4.50190611e-11  6.29630224e-01 
 4.60190611e-11  7.81498768e-01  4.60190611e-11  6.37957061e-01 
 4.70190611e-11  7.73206651e-01  4.70190611e-11  6.46340076e-01 
 4.80190611e-11  7.64861182e-01  4.80190611e-11  6.54772152e-01 
 4.90190611e-11  7.56469765e-01  4.90190611e-11  6.63246283e-01 
 5.00190611e-11  7.48040048e-01  5.00190611e-11  6.71755354e-01 
 5.10190611e-11  7.39579474e-01  5.10190611e-11  6.80292358e-01 
 5.20190611e-11  7.31095712e-01  5.20190611e-11  6.88850188e-01 
 5.30190611e-11  7.22596228e-01  5.30190611e-11  6.97421848e-01 
 5.40190611e-11  7.14088693e-01  5.40190611e-11  7.06000244e-01 
 5.50190611e-11  7.05580572e-01  5.50190611e-11  7.14578396e-01 
 5.60190611e-11  6.97079516e-01  5.60190611e-11  7.23149237e-01 
 5.70190611e-11  6.88592966e-01  5.70190611e-11  7.31705812e-01 
 5.80190611e-11  6.80128531e-01  5.80190611e-11  7.40241086e-01 
 5.90190611e-11  6.71693599e-01  5.90190611e-11  7.48748141e-01 
 6.00190611e-11  6.63295710e-01  6.00190611e-11  7.57219983e-01 
 6.10190611e-11  6.54942178e-01  6.10190611e-11  7.65649738e-01 
 6.20190611e-11  6.46640444e-01  6.20190611e-11  7.74030464e-01 
 6.30190611e-11  6.38397718e-01  6.30190611e-11  7.82355336e-01 
 6.40190611e-11  6.30221319e-01  6.40190611e-11  7.90617472e-01 
 6.50190611e-11  6.22118327e-01  6.50190611e-11  7.98810104e-01 
 6.60190611e-11  6.14095907e-01  6.60190611e-11  8.06926420e-01 
 6.70190611e-11  6.06160982e-01  6.70190611e-11  8.14959724e-01 
 6.80190611e-11  5.98320537e-01  6.80190611e-11  8.22903286e-01 
 6.90190611e-11  5.90581310e-01  6.90190611e-11  8.30750502e-01 
 7.00190611e-11  5.82950078e-01  7.00190611e-11  8.38494752e-01 
 7.10190611e-11  5.75433366e-01  7.10190611e-11  8.46129552e-01 
 7.20190611e-11  5.68037723e-01  7.20190611e-11  8.53648416e-01 
 7.30190611e-11  5.60769146e-01  7.30190611e-11  8.61045159e-01 
 7.40190611e-11  5.53633802e-01  7.40190611e-11  8.68313664e-01 
 7.50190611e-11  5.46638036e-01  7.50190611e-11  8.75447634e-01 
 7.60190611e-11  5.39787960e-01  7.60190611e-11  8.82440852e-01 
 7.70190611e-11  5.33089355e-01  7.70190611e-11  8.89287387e-01 
 7.80190611e-11  5.26548061e-01  7.80190611e-11  8.95981270e-01 
 7.90190611e-11  5.20169662e-01  7.90190611e-11  9.02516736e-01 
 8.00190611e-11  5.13959757e-01  8.00190611e-11  9.08888049e-01 
 8.10190611e-11  5.07923704e-01  8.10190611e-11  9.15089671e-01 
 8.20190611e-11  5.02066842e-01  8.20190611e-11  9.21116139e-01 
 8.30190611e-11  4.96394257e-01  8.30190611e-11  9.26962214e-01 
 8.40190611e-11  4.90910976e-01  8.40190611e-11  9.32622775e-01 
 8.50190611e-11  4.85621750e-01  8.50190611e-11  9.38092943e-01 
 8.60190611e-11  4.80531240e-01  8.60190611e-11  9.43367981e-01 
 8.70190611e-11  4.75643812e-01  8.70190611e-11  9.48443399e-01 
 8.80190611e-11  4.70963720e-01  8.80190611e-11  9.53314852e-01 
 8.90190611e-11  4.66494909e-01  8.90190611e-11  9.57978244e-01 
 9.00190611e-11  4.62241186e-01  9.00190611e-11  9.62429627e-01 
 9.10190611e-11  4.58206037e-01  9.10190611e-11  9.66665305e-01 
 9.20190611e-11  4.54392788e-01  9.20190611e-11  9.70681743e-01 
 9.30190611e-11  4.50804438e-01  9.30190611e-11  9.74475661e-01 
 9.40190611e-11  4.47443810e-01  9.40190611e-11  9.78043953e-01 
 9.50190611e-11  4.44313395e-01  9.50190611e-11  9.81383777e-01 
 9.60190611e-11  4.41415508e-01  9.60190611e-11  9.84492474e-01 
 9.70190611e-11  4.38752138e-01  9.70190611e-11  9.87367651e-01 
 9.80190611e-11  4.36325097e-01  9.80190611e-11  9.90007105e-01 
 9.90190611e-11  4.34135889e-01  9.90190611e-11  9.92408896e-01 
 1.00019061e-10  4.32185854e-01  1.00019061e-10  9.94571272e-01 
 1.01019061e-10  4.30476040e-01  1.01019061e-10  9.96492741e-01 
 1.02019061e-10  4.29007346e-01  1.02019061e-10  9.98171992e-01 
 1.03019061e-10  4.27780402e-01  1.03019061e-10  9.99607964e-01 
 1.04019061e-10  4.26795703e-01  1.04019061e-10  1.00079977e+00 
 1.05019061e-10  4.26053502e-01  1.05019061e-10  1.00174677e+00 
 1.06019061e-10  4.25553926e-01  1.06019061e-10  1.00244847e+00 
 1.07019061e-10  4.25296879e-01  1.07019061e-10  1.00290463e+00 
 1.08019061e-10  4.25282156e-01  1.08019061e-10  1.00311515e+00 
 1.09019061e-10  4.25509338e-01  1.09019061e-10  1.00308016e+00 
 1.10019061e-10  4.25977905e-01  1.10019061e-10  1.00279992e+00 
 1.11019061e-10  4.26687137e-01  1.11019061e-10  1.00227491e+00 
 1.12019061e-10  4.27636214e-01  1.12019061e-10  1.00150577e+00 
 1.13019061e-10  4.28824124e-01  1.13019061e-10  1.00049332e+00 
 1.14019061e-10  4.30249756e-01  1.14019061e-10  9.99238532e-01 
 1.15019061e-10  4.31911811e-01  1.15019061e-10  9.97742557e-01 
 1.16019061e-10  4.33808889e-01  1.16019061e-10  9.96006695e-01 
 1.17019061e-10  4.35939405e-01  1.17019061e-10  9.94032429e-01 
 1.18019061e-10  4.38301672e-01  1.18019061e-10  9.91821379e-01 
 1.19019061e-10  4.40893818e-01  1.19019061e-10  9.89375344e-01 
 1.20019061e-10  4.43713864e-01  1.20019061e-10  9.86696258e-01 
